"filename", "language", "PHP", "CSS", "JSON", "JavaScript", "SCSS", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\preformatted\_style.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\pullquote\_editor.scss", "SCSS", 0, 0, 0, 0, 87, 0, 0, 1, 19, 107
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\pullquote\_style.scss", "SCSS", 0, 0, 0, 0, 90, 0, 0, 3, 18, 111
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\query-loop\_editor.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\query-loop\_style.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\quote\_editor.scss", "SCSS", 0, 0, 0, 0, 117, 0, 0, 5, 29, 151
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\quote\_style.scss", "SCSS", 0, 0, 0, 0, 105, 0, 0, 8, 26, 139
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\rss\_editor.scss", "SCSS", 0, 0, 0, 0, 84, 0, 0, 7, 19, 110
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\rss\_style.scss", "SCSS", 0, 0, 0, 0, 84, 0, 0, 7, 19, 110
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\search\_editor.scss", "SCSS", 0, 0, 0, 0, 88, 0, 0, 3, 24, 115
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\search\_style.scss", "SCSS", 0, 0, 0, 0, 91, 0, 0, 2, 24, 117
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\separator\_editor.scss", "SCSS", 0, 0, 0, 0, 39, 0, 0, 0, 10, 49
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\separator\_style.scss", "SCSS", 0, 0, 0, 0, 46, 0, 0, 3, 12, 61
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\social-icons\_editor.scss", "SCSS", 0, 0, 0, 0, 14, 0, 0, 1, 6, 21
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\social-icons\_style.scss", "SCSS", 0, 0, 0, 0, 14, 0, 0, 0, 6, 20
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\spacer\_style.scss", "SCSS", 0, 0, 0, 0, 10, 0, 0, 1, 3, 14
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\table\_editor.scss", "SCSS", 0, 0, 0, 0, 72, 0, 0, 0, 18, 90
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\table\_style.scss", "SCSS", 0, 0, 0, 0, 81, 0, 0, 0, 19, 100
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\tag-clould\_editor.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\tag-clould\_style.scss", "SCSS", 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\utilities\_editor.scss", "SCSS", 0, 0, 0, 0, 100, 0, 0, 16, 25, 141
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\utilities\_font-sizes.scss", "SCSS", 0, 0, 0, 0, 41, 0, 0, 3, 10, 54
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\utilities\_style.scss", "SCSS", 0, 0, 0, 0, 97, 0, 0, 32, 32, 161
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\verse\_editor.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\verse\_style.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\video\_style.scss", "SCSS", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\06-components\404.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\06-components\archives.scss", "SCSS", 0, 0, 0, 0, 52, 0, 0, 0, 17, 69
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\06-components\comments.scss", "SCSS", 0, 0, 0, 0, 215, 0, 0, 15, 63, 293
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\06-components\editor.scss", "SCSS", 0, 0, 0, 0, 34, 0, 0, 4, 7, 45
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\06-components\entry.scss", "SCSS", 0, 0, 0, 0, 155, 0, 0, 13, 43, 211
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\06-components\footer-navigation.scss", "SCSS", 0, 0, 0, 0, 57, 0, 0, 2, 15, 74
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\06-components\footer.scss", "SCSS", 0, 0, 0, 0, 56, 0, 0, 4, 15, 75
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\06-components\header.scss", "SCSS", 0, 0, 0, 0, 153, 0, 0, 7, 43, 203
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\06-components\navigation.scss", "SCSS", 0, 0, 0, 0, 394, 0, 0, 34, 103, 531
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\06-components\pagination.scss", "SCSS", 0, 0, 0, 0, 186, 0, 0, 6, 52, 244
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\06-components\posts-and-pages.scss", "SCSS", 0, 0, 0, 0, 18, 0, 0, 2, 5, 25
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\06-components\search.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\06-components\single.scss", "SCSS", 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
